LabelID,Hemisphere,RegionName,FullName,Count
0,Unknown,Unknown,Unknown,22008
1,L,V1,L_V1,826
2,L,MST,L_MST,2740
3,L,V6,L_V6,20431
4,L,V2,L_V2,12371
5,L,V3,L_V3,7604
6,L,V4,L_V4,2733
7,L,V8,L_V8,14169
8,L,4,L_4,7237
9,L,3b,L_3b,2864
10,L,FEF,L_FEF,1945
11,L,PEF,L_PEF,3705
12,L,55b,L_55b,3453
13,L,V3A,L_V3A,2290
14,L,RSC,L_RSC,6508
15,L,POS2,L_POS2,1833
16,L,V7,L_V7,1408
17,L,IPS1,L_IPS1,6989
18,L,FFC,L_FFC,497
19,L,V3B,L_V3B,1432
20,L,LO1,L_LO1,1591
21,L,LO2,L_LO2,2236
22,L,PIT,L_PIT,1877
23,L,MT,L_MT,1446
24,L,A1,L_A1,4156
25,L,PSL,L_PSL,5554
26,L,SFL,L_SFL,3383
27,L,PCV,L_PCV,4664
28,L,STV,L_STV,2432
29,L,7Pm,L_7Pm,3607
30,L,7m,L_7m,5682
31,L,POS1,L_POS1,2786
32,L,23d,L_23d,1944
33,L,v23ab,L_v23ab,2113
34,L,d23ab,L_d23ab,2513
35,L,31pv,L_31pv,2822
36,L,5m,L_5m,2948
37,L,5mv,L_5mv,3845
38,L,23c,L_23c,3442
39,L,5L,L_5L,4607
40,L,24dd,L_24dd,1799
41,L,24dv,L_24dv,2852
42,L,7AL,L_7AL,5575
43,L,SCEF,L_SCEF,6451
44,L,6ma,L_6ma,4456
45,L,7Am,L_7Am,1956
46,L,7PL,L_7PL,4169
47,L,7PC,L_7PC,1971
48,L,LIPv,L_LIPv,2164
49,L,VIP,L_VIP,1635
50,L,MIP,L_MIP,9714
51,L,1,L_1,8505
52,L,2,L_2,1368
53,L,3a,L_3a,4620
54,L,6d,L_6d,5393
55,L,6mp,L_6mp,4319
56,L,6v,L_6v,2743
57,L,p24pr,L_p24pr,1063
58,L,33pr,L_33pr,2284
59,L,a24pr,L_a24pr,2170
60,L,p32pr,L_p32pr,3397
61,L,a24,L_a24,3301
62,L,d32,L_d32,6710
63,L,8BM,L_8BM,1696
64,L,p32,L_p32,3207
65,L,10r,L_10r,1840
66,L,47m,L_47m,6580
67,L,8Av,L_8Av,4429
68,L,8Ad,L_8Ad,10085
69,L,9m,L_9m,6291
70,L,8BL,L_8BL,4298
71,L,9p,L_9p,6787
72,L,10d,L_10d,4141
73,L,8C,L_8C,5439
74,L,44,L_44,4525
75,L,45,L_45,3748
76,L,47l,L_47l,8340
77,L,a47r,L_a47r,5685
78,L,6r,L_6r,1462
79,L,IFJa,L_IFJa,915
80,L,IFJp,L_IFJp,2584
81,L,IFSp,L_IFSp,3029
82,L,IFSa,L_IFSa,4871
83,L,p9-46v,L_p9-46v,4917
84,L,46,L_46,4239
85,L,a9-46v,L_a9-46v,5314
86,L,9-46d,L_9-46d,6102
87,L,9a,L_9a,6821
88,L,10v,L_10v,3021
89,L,a10p,L_a10p,6306
90,L,10pp,L_10pp,6110
91,L,11l,L_11l,3892
92,L,13l,L_13l,7304
93,L,OFC,L_OFC,3863
94,L,47s,L_47s,773
95,L,LIPd,L_LIPd,4809
96,L,6a,L_6a,3121
97,L,i6-8,L_i6-8,2891
98,L,s6-8,L_s6-8,3557
99,L,43,L_43,5410
100,L,OP4,L_OP4,2577
101,L,OP1,L_OP1,2164
102,L,OP2-3,L_OP2-3,502
103,L,52,L_52,1874
104,L,RI,L_RI,2953
105,L,PFcm,L_PFcm,4683
106,L,PoI2,L_PoI2,3158
107,L,TA2,L_TA2,3683
108,L,FOP4,L_FOP4,4187
109,L,MI,L_MI,2758
110,L,Pir,L_Pir,3033
111,L,AVI,L_AVI,3234
112,L,AAIC,L_AAIC,1995
113,L,FOP1,L_FOP1,1211
114,L,FOP3,L_FOP3,1545
115,L,FOP2,L_FOP2,2264
116,L,PFt,L_PFt,2809
117,L,AIP,L_AIP,3745
118,L,EC,L_EC,2880
119,L,PreS,L_PreS,3504
120,L,H,L_H,2508
121,L,ProS,L_ProS,8882
122,L,PeEc,L_PeEc,3878
123,L,STGa,L_STGa,2037
124,L,PBelt,L_PBelt,6719
125,L,A5,L_A5,4596
126,L,PHA1,L_PHA1,2084
127,L,PHA3,L_PHA3,5025
128,L,STSda,L_STSda,3492
129,L,STSdp,L_STSdp,2833
130,L,STSvp,L_STSvp,21342
131,L,TGd,L_TGd,7232
132,L,TE1a,L_TE1a,9429
133,L,TE1p,L_TE1p,8011
134,L,TE2a,L_TE2a,7968
135,L,TF,L_TF,5154
136,L,TE2p,L_TE2p,5965
137,L,PHT,L_PHT,5237
138,L,PH,L_PH,3924
139,L,TPOJ1,L_TPOJ1,3711
140,L,TPOJ2,L_TPOJ2,1332
141,L,TPOJ3,L_TPOJ3,2844
142,L,DVT,L_DVT,5272
143,L,PGp,L_PGp,1577
144,L,IP2,L_IP2,3808
145,L,IP1,L_IP1,2568
146,L,IP0,L_IP0,3546
147,L,PFop,L_PFop,10423
148,L,PF,L_PF,9472
149,L,PFm,L_PFm,5963
150,L,PGi,L_PGi,7253
151,L,PGs,L_PGs,1548
152,L,V6A,L_V6A,4005
153,L,VMV1,L_VMV1,1240
154,L,VMV3,L_VMV3,1780
155,L,PHA2,L_PHA2,984
156,L,V4t,L_V4t,1996
157,L,FST,L_FST,1703
158,L,V3CD,L_V3CD,2201
159,L,LO3,L_LO3,1374
160,L,VMV2,L_VMV2,1592
161,L,31pd,L_31pd,2019
162,L,31a,L_31a,7801
163,L,VVC,L_VVC,1995
164,L,25,L_25,1692
165,L,s32,L_s32,3781
166,L,pOFC,L_pOFC,2942
167,L,PoI1,L_PoI1,1754
168,L,Ig,L_Ig,2429
169,L,FOP5,L_FOP5,4052
170,L,p10p,L_p10p,2920
171,L,p47r,L_p47r,7297
172,L,TGv,L_TGv,1803
173,L,MBelt,L_MBelt,1116
174,L,LBelt,L_LBelt,5009
175,L,A4,L_A4,2226
176,L,STSva,L_STSva,5389
177,L,TE1m,L_TE1m,1467
178,L,PI,L_PI,2152
179,L,a32pr,L_a32pr,2909
